CODIGO_CORTO,NOMBRE_ESTACION,DIRECCION,LONGITUD,LATITUD
4,Pza. de Espa�a,Plaza de Espa�a,-3.7122567,40.4238823
8,Escuelas Aguirre,Entre C/ Alcal� y C/ O� Donell ,-3.6823158,40.4215533
11,Avda. Ram�n y Cajal,Avda. Ram�n y Cajal  esq. C/ Pr�ncipe de Vergara,-3.6773491,40.4514734
16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,-3.6392422,40.4400457
17,Villaverde,C/. Juan Pe�alver,-3.7133167,40.347147
18,Farolillo,Calle Farolillo - C/Ervigio,-3.7318356,40.3947825
24,Casa de Campo,Casa de Campo  (Terminal del Telef�rico),-3.7473445,40.4193577
27,Barajas Pueblo,C/. J�piter,-3.5800258,40.4769179
35,Pza. del Carmen,Plaza del Carmen esq. Tres Cruces. ,-3.7031662,40.4192091
36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,-3.6453104,40.4079517
38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqu�s de Lema,-3.7071303,40.4455439
39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,-3.7115364,40.4782322
40,Vallecas,C/ Arroyo del Olivar  esq. C/  R�o Grande. ,-3.6515286,40.3881478
47,Mendez Alvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,-3.6868138,40.3980991
48,Castellana,C/ Jose Gutierrez Abascal,-3.6903729,40.4398904
49,Parque del Retiro,Paseo Venezuela- Casa de Vacas,-3.6824999999999900,40.41444444444440
50,Plaza Castilla,Plaza Castilla (Canal),-3.6887449,40.4655841
54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,-3.6121394,40.3730118
55,Urb. Embajada,C/ Ria�o (Barajas) ,-3.5805649,40.4623628
56,Pza. El�ptica, Pza. El�ptica - Avda. Oporto,-3.7187679,40.3850336
57,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,-3.6605173,40.4942012
58,El Pardo,Avda. La Guardia,-3.7746101,40.5180701
59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),-3.6163407,40.4607255
60,Tres Olivos,Plaza Tres Olivos ,-3.6897308,40.5005477
